ObjectId,MeetingType,MeetingDate,Voter,Resolution,Vote,Result
1,Regular Meeting of Council,1/28/2019,Marianne Meed Ward,"Enact and pass the following by-laws which are now introduced, entitled and numbered as indicated below:",Yes,CARRIED
2,Regular Meeting of Council,1/28/2019,Marianne Meed Ward,Receive and file Capital Works Department Report CW-02-19 regarding the City of Burlington Asset Management Program,Yes,CARRIED
3,Regular Meeting of Council,1/28/2019,Marianne Meed Ward,"Receive and file finance department report F-01-19 regarding expenses excluded from the budget to meet the requirements of Regulation 284/09 Municipal Act, 2001.",Yes,CARRIED
4,Regular Meeting of Council,1/28/2019,Marianne Meed Ward,"Receive the proposed 2019 operating budget book; and
Receive the proposed 2019-2028 capital budget and forecast book; and
Direct staff to present the recommendations in Appendix A to the Committee of the Whole  Budget meeting of February 21, 2019 for review and approval, taking into consideration committee amendments.",Yes,CARRIED
5,Regular Meeting of Council,1/28/2019,Marianne Meed Ward,,Yes,CARRIED
6,Regular Meeting of Council,1/28/2019,Marianne Meed Ward,"Direct the City Clerk to review the current schedule of meetings and allocate time for a workshop to discuss the asset management and financing plan prior to the February 7, 2019 Committee of the Whole  Budget meeting.",Yes,CARRIED
7,Regular Meeting of Council,1/28/2019,Marianne Meed Ward,"Direct the City Manager to review our current committee cycles to incorporate regular opportunities for the proactive and strategic consideration and discussion of government relations matters including existing and emerging developments at the Regional, Provincial and Federal level that affect the City of Burlington; and
Direct the City Manager to report back to the March 7, 2019 Committee of the Whole - Workshop meeting with a presentation/workshop session leading to a strategic action plan related to priority government relation issues and opportunities.",Yes,CARRIED
8,Regular Meeting of Council,1/28/2019,Marianne Meed Ward,"Approve appointments to Burlingtons citizen advisory committees as outlined in Confidential Appendix A as amended of clerks department report CL-01-19 and following approval from Council, make the recommended names for appointments public; and

Appoint the following two members of Council to sit on the Development Charges Consultation Committee:

 Mayor Marianne Meed Ward
 Councillor Paul Sharman
Amend the terms of appointment for current and returning members of Burlington's Best Committee to end May 31, 2019.
Direct the City Clerk to explore partnerships with other recognition programs across the City in order to establish one event program that celebrates the recognition for volunteerism and report back to Council by Q3 of 2019.
Direct the City Clerk to amend the terms of reference for citizen committees to limit Council representative appointments to 2 terms (8 years) and implement a 2 year gap before re-appointment. ",Yes,CARRIED
9,Regular Meeting of Council,1/28/2019,Marianne Meed Ward,"Whereas, the Government of Ontario has introduced Bill 66, an Act to restore Ontarios competitiveness by amending or repealing certain Acts; and
 
Whereas, Schedule 10 of the proposed legislation would have amended the Planning Act to allow municipalities to pass open-for-business planning by-laws; and
Whereas, the Bill would have allowed such by-laws to override important planning, water, agricultural and environmental protections contained in the Clean Water Act, 2006, the Greenbelt Act, 2005, the Places to Grow Act, 2005, and other provincial legislation; and
Whereas, no notice or public hearing would have been required prior to the passing of such a by-law nor were there to be any appeal rights thereafter; and
Whereas, the Greenbelt is an integral component of land use planning that complements the Growth Plan to encourage smart planning, the reduction of sprawl, protection of natural and hydrological features and agricultural lands; and
Whereas, Burlingtons land mass is 50% rural, and the Greenbelt protects 1.8 million acres of farmland, local food supplies, the headwaters of our rivers and important forests and wildlife habitat; and
Whereas, a permanent Greenbelt is an important part of the planning for sustainable communities; and
Whereas, Burlington presently has 509 acres (206 hectares) of vacant employment land supply within the urban boundary ready to be used for business, without the need to weaken the protections provided by the Greenbelt or effectively remove land from it; and
Whereas, protections like those included in the Clean Water Act are critical to the health of Burlington residents; and
Whereas, the government has said it will now remove Section 10 from Bill 66; and
Whereas, nevertheless, Burlington City Council wishes to declare our commitment to protecting the Greenbelt, opposing urban boundary expansion, and protecting access to clean water;
Therefore, be it resolved,
That Schedule 10 in Bill 66 does not represent how the City of Burlington and its residents want to do business; and
That the City of Burlington opposes provisions in Schedule 10 of Bill 66, that amend, repeal or override the Clean Water Act, 2006, the Greenbelt Act, 2005 and other important legislation in the public interest and applauds their removal from the Bill; and
That notwithstanding the announced changes to Bill 66, the City of Burlington will not exercise any powers granted to it in this or any future sections or schedules to pass such planning by-laws where they are contrary to the Citys Official Plan; and
That the approval of a Bill 66 by-law clearly requires that the integrity of the Greenbelt and source water protection be achieved; and
That this resolution be distributed to: the leaders of all parties represented in the Legislature; the Minister of Municipal Affairs and Housing; the Minister of the Environment, Conservation and Parks; all Greater Golden Horseshoe municipalities, Halton MPPs, Environmental Defense, the Association of Municipalities of Ontario, the Ontario Federation of Agriculture, and the Friends of the Greenbelt Foundation.",Yes,CARRIED
10,Regular Meeting of Council,1/28/2019,Marianne Meed Ward,"Motion to amend the recommendation from clerk's department report CL-01-19 to add the following paragraphs.
Amend the terms of appointment for current and returning members of Burlington's Best Committee to end May 31, 2019; and
Direct the City Clerk to explore partnerships with other recognition programs across the City in order to establish one event program that celebrates the recognition for volunteerism and report back to Council by Q3 of 2019; and
Direct the City Clerk to amend the terms of reference for citizen committees to limit Council representative appointments to 2 terms (8 years) and implement a 2 year gap before re-appointment. ",Yes,CARRIED
