ObjectId,MeetingType,MeetingDate,Voter,Resolution,Vote,Result
1,Special Meeting of Council,1/30/2020,Marianne Meed Ward,"Deem that no further notice is required in respect of the proposed Zoning By-law Amendment in accordance with Section 34 (17) of the Planning Act concerning a change to a proposed by-law made after the holding of the public meeting; and
Receive the Interim Control By-law Land Use Study report prepared by Dillon Consulting as amended and attached as Appendix B to supplementary staff memo dated January 30, 2020  to community planning department report  PL-01-20; and
Approve the proposed Official Plan Amendment as amended attached in Appendix D to supplementary staff memo dated January 30, 2020  to community planning report PL-01-20; and
Approve the proposed Zoning By-law Amendment as amended attached in Appendix E to supplementary staff memo dated January 30, 2020  to community planning report PL-01-20; and
Direct the Executive Director of Community Planning, Regulation and Mobility to consider the following modifications to the proposed Official Plan Amendment:
 For clarity, any policies that reference growth in the MTSAs should also include reference to the overall MTSA typology which differentiates the characteristics between downtown and the GO station MTSAs
 Policies that address urban design and public realm should identify street trees, street furniture and public art as key elements of the public realm;
 Opportunities to strengthen compatibility policies and the built form transitions to surrounding areas;
 Policies that identify innovative sustainable energy, water, landscape and waste management practices should address mitigating the impacts of climate change, sustainable development practices and green infrastructure.",Yes,CARRIED
2,Special Meeting of Council,1/30/2020,Marianne Meed Ward,"Enact and pass the following by-laws which are now introduced, entitled and numbered as indicated below:",Yes,CARRIED
3,Special Meeting of Council,1/30/2020,Marianne Meed Ward,"Amend Interim Control By-law Land Use Study (PL-01-20) recommendation by adding the following paragraph at the beginning of the recommendation
Deem that no further notice is required in respect of the proposed Zoning By-law Amendment in accordance with Section 34 (17) of the Planning Act concerning a change to a proposed by-law made after the holding of the public meeting; and
And remove the following paragraph in its entirety from the recommendation:
Repeal the Interim Control By-law from the subject lands upon expiry of the appeal period for the proposed Official Plan and Zoning By-law amendments, provided no appeals are filed; and",Yes,CARRIED
4,Special Meeting of Council,1/30/2020,Kelvin Galbraith,"Deem that no further notice is required in respect of the proposed Zoning By-law Amendment in accordance with Section 34 (17) of the Planning Act concerning a change to a proposed by-law made after the holding of the public meeting; and
Receive the Interim Control By-law Land Use Study report prepared by Dillon Consulting as amended and attached as Appendix B to supplementary staff memo dated January 30, 2020  to community planning department report  PL-01-20; and
Approve the proposed Official Plan Amendment as amended attached in Appendix D to supplementary staff memo dated January 30, 2020  to community planning report PL-01-20; and
Approve the proposed Zoning By-law Amendment as amended attached in Appendix E to supplementary staff memo dated January 30, 2020  to community planning report PL-01-20; and
Direct the Executive Director of Community Planning, Regulation and Mobility to consider the following modifications to the proposed Official Plan Amendment:
 For clarity, any policies that reference growth in the MTSAs should also include reference to the overall MTSA typology which differentiates the characteristics between downtown and the GO station MTSAs
 Policies that address urban design and public realm should identify street trees, street furniture and public art as key elements of the public realm;
 Opportunities to strengthen compatibility policies and the built form transitions to surrounding areas;
 Policies that identify innovative sustainable energy, water, landscape and waste management practices should address mitigating the impacts of climate change, sustainable development practices and green infrastructure.",Yes,CARRIED
5,Special Meeting of Council,1/30/2020,Kelvin Galbraith,"Enact and pass the following by-laws which are now introduced, entitled and numbered as indicated below:",Yes,CARRIED
6,Special Meeting of Council,1/30/2020,Kelvin Galbraith,"Amend Interim Control By-law Land Use Study (PL-01-20) recommendation by adding the following paragraph at the beginning of the recommendation
Deem that no further notice is required in respect of the proposed Zoning By-law Amendment in accordance with Section 34 (17) of the Planning Act concerning a change to a proposed by-law made after the holding of the public meeting; and
And remove the following paragraph in its entirety from the recommendation:
Repeal the Interim Control By-law from the subject lands upon expiry of the appeal period for the proposed Official Plan and Zoning By-law amendments, provided no appeals are filed; and",Yes,CARRIED
7,Special Meeting of Council,1/30/2020,Lisa Kearns,"Deem that no further notice is required in respect of the proposed Zoning By-law Amendment in accordance with Section 34 (17) of the Planning Act concerning a change to a proposed by-law made after the holding of the public meeting; and
Receive the Interim Control By-law Land Use Study report prepared by Dillon Consulting as amended and attached as Appendix B to supplementary staff memo dated January 30, 2020  to community planning department report  PL-01-20; and
Approve the proposed Official Plan Amendment as amended attached in Appendix D to supplementary staff memo dated January 30, 2020  to community planning report PL-01-20; and
Approve the proposed Zoning By-law Amendment as amended attached in Appendix E to supplementary staff memo dated January 30, 2020  to community planning report PL-01-20; and
Direct the Executive Director of Community Planning, Regulation and Mobility to consider the following modifications to the proposed Official Plan Amendment:
 For clarity, any policies that reference growth in the MTSAs should also include reference to the overall MTSA typology which differentiates the characteristics between downtown and the GO station MTSAs
 Policies that address urban design and public realm should identify street trees, street furniture and public art as key elements of the public realm;
 Opportunities to strengthen compatibility policies and the built form transitions to surrounding areas;
 Policies that identify innovative sustainable energy, water, landscape and waste management practices should address mitigating the impacts of climate change, sustainable development practices and green infrastructure.",Yes,CARRIED
8,Special Meeting of Council,1/30/2020,Lisa Kearns,"Enact and pass the following by-laws which are now introduced, entitled and numbered as indicated below:",Yes,CARRIED
9,Special Meeting of Council,1/30/2020,Lisa Kearns,"Amend Interim Control By-law Land Use Study (PL-01-20) recommendation by adding the following paragraph at the beginning of the recommendation
Deem that no further notice is required in respect of the proposed Zoning By-law Amendment in accordance with Section 34 (17) of the Planning Act concerning a change to a proposed by-law made after the holding of the public meeting; and
And remove the following paragraph in its entirety from the recommendation:
Repeal the Interim Control By-law from the subject lands upon expiry of the appeal period for the proposed Official Plan and Zoning By-law amendments, provided no appeals are filed; and",Yes,CARRIED
10,Special Meeting of Council,1/30/2020,Rory Nisan,"Deem that no further notice is required in respect of the proposed Zoning By-law Amendment in accordance with Section 34 (17) of the Planning Act concerning a change to a proposed by-law made after the holding of the public meeting; and
Receive the Interim Control By-law Land Use Study report prepared by Dillon Consulting as amended and attached as Appendix B to supplementary staff memo dated January 30, 2020  to community planning department report  PL-01-20; and
Approve the proposed Official Plan Amendment as amended attached in Appendix D to supplementary staff memo dated January 30, 2020  to community planning report PL-01-20; and
Approve the proposed Zoning By-law Amendment as amended attached in Appendix E to supplementary staff memo dated January 30, 2020  to community planning report PL-01-20; and
Direct the Executive Director of Community Planning, Regulation and Mobility to consider the following modifications to the proposed Official Plan Amendment:
 For clarity, any policies that reference growth in the MTSAs should also include reference to the overall MTSA typology which differentiates the characteristics between downtown and the GO station MTSAs
 Policies that address urban design and public realm should identify street trees, street furniture and public art as key elements of the public realm;
 Opportunities to strengthen compatibility policies and the built form transitions to surrounding areas;
 Policies that identify innovative sustainable energy, water, landscape and waste management practices should address mitigating the impacts of climate change, sustainable development practices and green infrastructure.",Yes,CARRIED
11,Special Meeting of Council,1/30/2020,Rory Nisan,"Enact and pass the following by-laws which are now introduced, entitled and numbered as indicated below:",Yes,CARRIED
12,Special Meeting of Council,1/30/2020,Rory Nisan,"Amend Interim Control By-law Land Use Study (PL-01-20) recommendation by adding the following paragraph at the beginning of the recommendation
Deem that no further notice is required in respect of the proposed Zoning By-law Amendment in accordance with Section 34 (17) of the Planning Act concerning a change to a proposed by-law made after the holding of the public meeting; and
And remove the following paragraph in its entirety from the recommendation:
Repeal the Interim Control By-law from the subject lands upon expiry of the appeal period for the proposed Official Plan and Zoning By-law amendments, provided no appeals are filed; and",Yes,CARRIED
13,Special Meeting of Council,1/30/2020,Shawna Stolte,"Deem that no further notice is required in respect of the proposed Zoning By-law Amendment in accordance with Section 34 (17) of the Planning Act concerning a change to a proposed by-law made after the holding of the public meeting; and
Receive the Interim Control By-law Land Use Study report prepared by Dillon Consulting as amended and attached as Appendix B to supplementary staff memo dated January 30, 2020  to community planning department report  PL-01-20; and
Approve the proposed Official Plan Amendment as amended attached in Appendix D to supplementary staff memo dated January 30, 2020  to community planning report PL-01-20; and
Approve the proposed Zoning By-law Amendment as amended attached in Appendix E to supplementary staff memo dated January 30, 2020  to community planning report PL-01-20; and
Direct the Executive Director of Community Planning, Regulation and Mobility to consider the following modifications to the proposed Official Plan Amendment:
 For clarity, any policies that reference growth in the MTSAs should also include reference to the overall MTSA typology which differentiates the characteristics between downtown and the GO station MTSAs
 Policies that address urban design and public realm should identify street trees, street furniture and public art as key elements of the public realm;
 Opportunities to strengthen compatibility policies and the built form transitions to surrounding areas;
 Policies that identify innovative sustainable energy, water, landscape and waste management practices should address mitigating the impacts of climate change, sustainable development practices and green infrastructure.",Yes,CARRIED
14,Special Meeting of Council,1/30/2020,Shawna Stolte,"Enact and pass the following by-laws which are now introduced, entitled and numbered as indicated below:",Yes,CARRIED
15,Special Meeting of Council,1/30/2020,Shawna Stolte,"Amend Interim Control By-law Land Use Study (PL-01-20) recommendation by adding the following paragraph at the beginning of the recommendation
Deem that no further notice is required in respect of the proposed Zoning By-law Amendment in accordance with Section 34 (17) of the Planning Act concerning a change to a proposed by-law made after the holding of the public meeting; and
And remove the following paragraph in its entirety from the recommendation:
Repeal the Interim Control By-law from the subject lands upon expiry of the appeal period for the proposed Official Plan and Zoning By-law amendments, provided no appeals are filed; and",Yes,CARRIED
16,Special Meeting of Council,1/30/2020,Paul Sharman,"Deem that no further notice is required in respect of the proposed Zoning By-law Amendment in accordance with Section 34 (17) of the Planning Act concerning a change to a proposed by-law made after the holding of the public meeting; and
Receive the Interim Control By-law Land Use Study report prepared by Dillon Consulting as amended and attached as Appendix B to supplementary staff memo dated January 30, 2020  to community planning department report  PL-01-20; and
Approve the proposed Official Plan Amendment as amended attached in Appendix D to supplementary staff memo dated January 30, 2020  to community planning report PL-01-20; and
Approve the proposed Zoning By-law Amendment as amended attached in Appendix E to supplementary staff memo dated January 30, 2020  to community planning report PL-01-20; and
Direct the Executive Director of Community Planning, Regulation and Mobility to consider the following modifications to the proposed Official Plan Amendment:
 For clarity, any policies that reference growth in the MTSAs should also include reference to the overall MTSA typology which differentiates the characteristics between downtown and the GO station MTSAs
 Policies that address urban design and public realm should identify street trees, street furniture and public art as key elements of the public realm;
 Opportunities to strengthen compatibility policies and the built form transitions to surrounding areas;
 Policies that identify innovative sustainable energy, water, landscape and waste management practices should address mitigating the impacts of climate change, sustainable development practices and green infrastructure.",Yes,CARRIED
17,Special Meeting of Council,1/30/2020,Paul Sharman,"Enact and pass the following by-laws which are now introduced, entitled and numbered as indicated below:",Yes,CARRIED
18,Special Meeting of Council,1/30/2020,Paul Sharman,"Amend Interim Control By-law Land Use Study (PL-01-20) recommendation by adding the following paragraph at the beginning of the recommendation
Deem that no further notice is required in respect of the proposed Zoning By-law Amendment in accordance with Section 34 (17) of the Planning Act concerning a change to a proposed by-law made after the holding of the public meeting; and
And remove the following paragraph in its entirety from the recommendation:
Repeal the Interim Control By-law from the subject lands upon expiry of the appeal period for the proposed Official Plan and Zoning By-law amendments, provided no appeals are filed; and",Yes,CARRIED
